gender,age,parental_education_level,family_income,daily_study_hours,attendance_rate,sleep_hours,stress_level,motivation_score,private_tutoring,internet_quality,math_score,reading_score,writing_score,pass_fail
Female,15,2,45000.0,2.9,0.916,8.3,6.0,16,False,2,21,29,29,Fail
Male,19,2,15000.0,2.8,0.76,6.8,5.0,58,False,3,56,37,45,Fail
Female,20,5,55000.0,4.0,0.894,8.2,6.0,51,False,3,60,51,63,Fail
Female,16,5,65000.0,4.6,0.888,6.2,6.0,49,False,3,58,54,34,Fail
Male,20,4,35000.0,4.3,0.923,7.3,4.0,62,False,2,80,57,73,Pass
Female,15,5,75000.0,5.0,0.931,8.4,6.0,30,True,3,81,71,77,Pass
Female,20,6,70000.0,4.5,0.982,8.0,4.0,60,True,3,96,100,93,Pass
Female,21,2,50000.0,2.7,0.707,8.4,4.0,39,False,3,42,38,39,Fail
Male,15,1,40000.0,3.1,0.886,8.4,3.0,38,True,2,76,76,73,Pass
Male,17,4,45000.0,3.4,0.793,7.1,6.0,53,False,3,35,49,40,Fail
Male,18,3,25000.0,3.1,0.901,9.9,1.0,46,False,2,55,84,55,Pass
Female,17,5,40000.0,3.8,0.84,8.6,6.0,65,False,3,79,76,58,Pass
Female,16,3,55000.0,4.1,0.911,8.8,6.0,41,False,4,48,67,63,Fail
Female,18,2,45000.0,2.9,0.814,7.6,5.0,24,False,3,7,36,26,Fail
Male,17,3,30000.0,3.3,0.878,9.7,4.0,56,False,2,70,71,75,Pass
Male,20,1,15000.0,2.9,0.989,6.6,6.0,36,False,3,39,43,16,Fail
Female,20,5,70000.0,3.7,0.928,8.4,2.0,63,True,2,100,94,97,Pass
Male,18,5,70000.0,4.1,0.862,6.9,6.0,61,False,4,62,50,49,Fail
Female,19,2,15000.0,6.1,0.878,7.3,,50,False,3,91,60,69,Pass
Female,17,3,65000.0,3.1,0.933,7.7,4.0,35,False,4,75,47,44,Fail
Female,21,5,30000.0,3.9,0.947,7.5,6.0,54,False,3,67,60,62,Pass
Male,17,2,55000.0,2.7,0.849,9.9,4.0,47,False,3,70,40,63,Fail
Female,16,5,115000.0,4.1,0.968,8.2,6.0,50,False,4,68,78,53,Pass
Female,20,4,25000.0,3.3,0.802,7.8,4.0,53,False,1,51,49,69,Fail
Female,17,6,75000.0,4.5,0.84,8.3,4.0,78,False,4,65,81,86,Pass
Male,19,2,20000.0,4.6,0.82,7.0,6.0,39,False,3,49,49,36,Fail
Male,19,4,35000.0,3.2,0.822,7.9,6.0,31,False,3,37,31,46,Fail
Male,15,6,105000.0,4.3,0.88,7.4,5.0,39,False,4,53,60,62,Fail
Male,19,6,75000.0,4.1,0.907,6.6,7.0,42,False,2,47,67,43,Fail
Female,18,5,45000.0,3.6,0.882,7.1,5.0,52,False,3,63,44,52,Fail
Female,17,2,15000.0,2.9,0.878,8.1,6.0,39,True,3,86,54,57,Pass
Female,16,5,40000.0,3.7,0.918,6.8,6.0,38,True,2,53,61,54,Fail
Male,21,5,140000.0,3.6,0.937,6.3,5.0,61,False,4,66,64,70,Pass
Male,16,5,25000.0,5.0,0.922,8.0,6.0,78,False,3,83,75,81,Pass
Male,18,3,30000.0,3.1,0.856,7.4,6.0,59,False,2,55,37,40,Fail
Male,18,2,45000.0,3.6,0.836,8.9,5.0,51,False,3,64,54,71,Pass
Male,15,3,60000.0,3.3,0.858,7.4,6.0,31,False,3,25,38,25,Fail
Male,18,6,75000.0,3.9,0.873,7.7,6.0,56,False,4,57,63,81,Pass
Male,18,1,50000.0,2.5,0.903,7.3,6.0,30,True,2,61,48,44,Fail
Female,21,5,145000.0,3.7,0.985,6.4,4.0,52,True,4,96,76,89,Pass
Male,18,2,30000.0,4.0,0.906,8.4,6.0,41,False,4,64,48,40,Fail
Female,16,1,25000.0,2.3,0.92,7.8,4.0,12,False,3,33,34,38,Fail
Female,16,3,15000.0,2.9,0.914,6.6,3.0,40,False,2,59,55,54,Fail
Male,18,2,65000.0,4.1,0.907,6.1,7.0,41,False,3,46,43,28,Fail
Female,20,7,,4.2,0.861,6.2,6.0,51,False,3,49,43,66,Fail
Female,20,2,25000.0,2.9,0.897,7.2,4.0,38,False,3,39,44,49,Fail
Male,21,4,30000.0,3.5,1.0,8.9,4.0,43,False,2,70,59,69,Pass
Male,20,5,110000.0,4.1,0.843,7.1,5.0,50,True,3,89,91,84,Pass
Female,18,4,85000.0,5.0,0.97,7.4,5.0,39,True,3,77,80,85,Pass
Male,15,3,25000.0,3.7,0.896,10.2,3.0,57,False,2,68,60,69,Pass
Male,19,5,50000.0,4.6,0.78,7.8,5.0,73,True,2,98,95,82,Pass
Male,17,3,130000.0,3.5,0.854,6.6,4.0,42,True,5,78,64,79,Pass
Female,17,5,130000.0,3.9,0.956,8.0,6.0,57,False,4,66,76,85,Pass
Female,19,5,55000.0,4.0,0.965,8.2,5.0,64,False,4,56,76,91,Pass
Female,18,5,55000.0,4.9,0.885,6.5,8.0,45,False,3,57,47,48,Fail
Female,17,3,15000.0,2.9,0.849,8.9,5.0,51,False,3,57,43,62,Fail
Male,18,4,35000.0,3.2,1.0,7.8,7.0,39,False,4,58,57,42,Fail
Female,19,3,35000.0,3.9,0.913,8.1,4.0,54,False,3,83,66,53,Pass
Male,20,2,25000.0,2.7,0.954,7.4,7.0,43,False,3,28,51,53,Fail
Male,19,2,15000.0,6.3,0.923,7.0,7.0,75,False,2,81,85,78,Pass
Female,18,2,15000.0,2.6,0.877,8.2,3.0,41,False,3,50,61,58,Fail
Male,18,5,150000.0,3.5,0.925,6.9,4.0,69,False,5,60,74,83,Pass
Female,20,7,80000.0,4.6,0.821,6.8,6.0,82,False,3,71,61,67,Pass
